,x,y,z,beacon_address,floor,rssi_mean,rssi_std,count,third_quartile,count_mean,count_weight_average,bdaddress,ts,rssi
0,43.2,12.4,1.1,C0:1C:4D:44:32:56,FLU01,-69.625,6.843923269169937,8,4.0,3.5357142857142856,7.747474747474747,C0:1C:4D:44:32:56,12.07566293173058,-72.79069767441861
1,41.7,11.6,1.3,C0:1C:4D:44:32:56,FLU01,-66.64285714285714,9.888665950759702,14,4.0,3.5357142857142856,7.747474747474747,C0:1C:4D:44:32:56,12.07566293173058,-72.79069767441861
2,41.5,11.6,1.3,C0:1C:4D:44:32:56,FLU01,-69.3529411764706,10.723462456633287,17,4.0,3.5357142857142856,7.747474747474747,C0:1C:4D:44:32:56,12.07566293173058,-72.79069767441861
3,41.5,16.1,1.3,C0:1C:4D:46:4B:57,FLU01,-67.66666666666667,7.505553499465133,3,2.25,1.9166666666666667,2.217391304347826,C0:1C:4D:46:4B:57,29.936754014756943,-73.77777777777777
4,41.6,16.1,1.3,C0:1C:4D:46:4B:57,FLU01,-67.33333333333333,6.429100507328638,3,2.25,1.9166666666666667,2.217391304347826,C0:1C:4D:46:4B:57,29.936754014756943,-73.77777777777777
5,41.7,16.1,1.3,C0:1C:4D:46:4B:57,FLU01,-68.0,7.211102550927978,3,2.25,1.9166666666666667,2.217391304347826,C0:1C:4D:46:4B:57,29.936754014756943,-73.77777777777777
6,41.0,8.4,1.3,C0:1C:4D:47:C8:BD,FLU01,-69.63636363636364,7.446780878644506,11,8.0,5.24,8.038167938931299,C0:1C:4D:47:C8:BD,35.70114207267761,-73.33333333333333
7,40.4,7.5,1.3,C0:1C:4D:47:C8:BD,FLU01,-69.66666666666667,6.38357266740185,9,8.0,5.24,8.038167938931299,C0:1C:4D:47:C8:BD,35.70114207267761,-73.33333333333333
8,40.4,8.9,1.3,C0:1C:4D:47:C8:BD,FLU01,-69.4,7.058935573340458,15,8.0,5.24,8.038167938931299,C0:1C:4D:47:C8:BD,35.70114207267761,-73.33333333333333
9,41.0,7.7,1.3,C0:1C:4D:47:C8:BD,FLU01,-65.0,12.165525060596437,10,8.0,5.24,8.038167938931299,C0:1C:4D:47:C8:BD,35.70114207267761,-73.33333333333333
10,41.0,7.8,1.3,C0:1C:4D:47:C8:BD,FLU01,-64.44444444444444,10.643203360726401,9,8.0,5.24,8.038167938931299,C0:1C:4D:47:C8:BD,35.70114207267761,-73.33333333333333
11,41.0,8.6,1.3,C0:1C:4D:47:C8:BD,FLU01,-67.33333333333333,7.999999999999999,9,8.0,5.24,8.038167938931299,C0:1C:4D:47:C8:BD,35.70114207267761,-73.33333333333333
12,37.4,7.9,1.3,C0:1C:4D:47:67:94,FLU01,-63.333333333333336,11.715374513859981,9,9.5,5.512820512820513,8.786046511627907,C0:1C:4D:47:67:94,48.9170663356781,-73.75
13,37.4,8.7,1.3,C0:1C:4D:47:67:94,FLU01,-69.66666666666667,6.999999999999999,9,9.5,5.512820512820513,8.786046511627907,C0:1C:4D:47:67:94,48.9170663356781,-73.75
14,37.3,8.0,1.3,C0:1C:4D:47:67:94,FLU01,-67.53846153846153,5.348136507472869,13,9.5,5.512820512820513,8.786046511627907,C0:1C:4D:47:67:94,48.9170663356781,-73.75
15,37.5,7.6,1.3,C0:1C:4D:47:67:94,FLU01,-65.36363636363636,7.7623801410743525,11,9.5,5.512820512820513,8.786046511627907,C0:1C:4D:47:67:94,48.9170663356781,-73.75
16,37.6,7.7,1.3,C0:1C:4D:47:67:94,FLU01,-68.63636363636364,7.201010030165592,11,9.5,5.512820512820513,8.786046511627907,C0:1C:4D:47:67:94,48.9170663356781,-73.75
17,37.6,7.7,1.4,C0:1C:4D:47:67:94,FLU01,-64.93333333333334,8.92401788647329,15,9.5,5.512820512820513,8.786046511627907,C0:1C:4D:47:67:94,48.9170663356781,-73.75
